Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AK,Alaska,Demographics,Race,What is your race/ethnicity?,Black,Overall,Overall,54,4.5,3.2,5.8,"1,247",%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,02,BO1,CAT1,RACE,RESP006,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"1,967",52.2,50.1,54.2,"2,078",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,02,BO1,CAT1,SEX,RESP001,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Sex,Gender of respondent,Female,Overall,Overall,"2,421",47.8,45.8,49.9,"2,079",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,02,BO1,CAT1,SEX,RESP002,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"5,982",49.3,48,50.7,"2,089",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,04,BO1,CAT1,SEX,RESP001,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Sex,Gender of respondent,Female,Overall,Overall,"8,885",50.7,49.4,52.1,"2,090",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,04,BO1,CAT1,SEX,RESP002,"(34.865970280000454, -111.76381127699972)"
2014,AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,"2,887",40.1,38.5,41.6,"2,907",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,01,BO1,CAT1,DRNKANY5,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,"5,415",59.9,58.4,61.5,"2,908",%,Crude Prevalence,,,BRFSS,CLASS01,Topic03,01,BO1,CAT1,DRNKANY5,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,Overall,Overall,677,12,10.9,13.1,"2,953",%,Crude Prevalence,,,BRFSS,CLASS01,Topic07,01,BO1,CAT1,_RFBING5,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,Overall,Overall,"7,553",88,86.9,89.1,"2,954",%,Crude Prevalence,,,BRFSS,CLASS01,Topic07,01,BO1,CAT1,_RFBING5,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,322,4.5,3.9,5.1,"2,999",%,Crude Prevalence,,,BRFSS,CLASS01,Topic30,01,BO1,CAT1,_RFDRHV4,RESP046,"(32.84057112200048, -86.63186076199969)"
