id,state,stateAbbr,UnemploymentRate,ConfidenceLimitHigh,-0.294810218
1,Alabama,AL,8.5,41.6,
2,Alaska,AK,6.9,58.8,
4,Arizona,AZ,7.1,53.1,
5,Arkansas,AR,6.7,42,
6,California,CA,7.8,55.1,
8,Colorado,CO,4.4,62.4,
9,Connecticut,CT,7.5,62.4,
10,Delaware,DE,6.4,55.1,
11,District of Columbia,DC,7.1,69.8,
12,Florida,FL,7.5,55.8,
13,Georgia,GA,7.7,49.9,
15,Hawaii,HI,5.3,52.7,
16,Idaho,ID,4.6,50.5,
17,Illinois,IL,7.4,59.1,
18,Indiana,IN,6.7,49.1,
19,Iowa,IA,4,60.2,
20,Kansas,KS,4.6,52.5,
21,Kentucky,KY,7.9,38.7,
22,Louisiana,LA,7.2,51,
23,Maine,ME,5.9,60.6,
24,Maryland,MD,6.8,54.9,
25,Massachusetts,MA,6.2,63.2,
26,Michigan,MI,8,58.3,
27,Minnesota,MN,4.2,62.7,
28,Mississippi,MS,9.7,41,
29,Missouri,MO,6.8,47.3,
30,Montana,MT,4.4,61.2,
31,Nebraska,NE,3.9,60.3,
32,Nevada,NV,8,53.2,
33,New Hampshire,NH,4.8,64.3,
34,New Jersey,NJ,6.9,57.7,
35,New Mexico,NM,9.2,49.4,
36,New York,NY,6.6,56.1,
37,North Carolina,NC,7.5,47.6,
38,North Dakota,ND,2.7,63,
39,Ohio,OH,6.7,54.6,
40,Oklahoma,OK,5.1,43.1,
41,Oregon,OR,7.3,60.9,
42,Pennsylvania,PA,6.5,56,
44,Rhode Island,RI,7.7,65,
45,South Carolina,SC,7.5,48.6,
46,South Dakota,SD,3.8,57.7,
47,Tennessee,TN,7.3,42.6,
48,Texas,TX,5.2,49.4,
49,Utah,UT,4.3,30.7,
50,Vermont,VT,5.8,65.8,
51,Virginia,VA,5.6,53.1,
53,Washington,WA,5.9,60.8,
54,West Virginia,WV,7.3,34.2,
55,Wisconsin,WI,5.1,64.8,
56,Wyoming,WY,4.5,53.9,
