otu_id,lowest_taxonomic_unit_found
1,Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus
2,Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus
3,Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronorubrum
4,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter
5,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter
6,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter
7,Bacteria
8,Bacteria
9,Bacteria
10,Bacteria
11,Bacteria
12,Bacteria
13,Bacteria
14,Bacteria
15,Bacteria
16,Bacteria
17,Bacteria
18,Bacteria
19,Bacteria
20,Bacteria
21,Bacteria
22,Bacteria
23,Bacteria
24,Bacteria
25,Bacteria
26,Bacteria
27,Bacteria
28,Bacteria
29,Bacteria
30,Bacteria
31,Bacteria
32,Bacteria
33,Bacteria
34,Bacteria
35,Bacteria
36,Bacteria
37,Bacteria
38,Bacteria
39,Bacteria
40,Bacteria
41,Bacteria
42,Bacteria
43,Bacteria
44,Bacteria
45,Bacteria
46,Bacteria
47,Bacteria
48,Bacteria
49,Bacteria
50,Bacteria
51,Bacteria
52,Bacteria
53,Bacteria
54,Bacteria
55,Bacteria
56,Bacteria
57,Bacteria
58,Bacteria
59,Bacteria
60,Bacteria
61,Bacteria
62,Bacteria
63,Bacteria
64,Bacteria
65,Bacteria
66,Bacteria
67,Bacteria
68,Bacteria
69,Bacteria
70,Bacteria
71,Bacteria
72,Bacteria
73,Bacteria
74,Bacteria
75,Bacteria
76,Bacteria
77,Bacteria
78,Bacteria
79,Bacteria
80,Bacteria
81,Bacteria
82,Bacteria
83,Bacteria
84,Bacteria
85,Bacteria
86,Bacteria
87,Bacteria
88,Bacteria
89,Bacteria
90,Bacteria
91,Bacteria
92,Bacteria
93,Bacteria
94,Bacteria
95,Bacteria
96,Bacteria
97,Bacteria
98,Bacteria
99,Bacteria
100,Bacteria
101,Bacteria
102,Bacteria
103,Bacteria
104,Bacteria
105,Bacteria
106,Bacteria
107,Bacteria
108,Bacteria
109,Bacteria
110,Bacteria
