,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
0,0.5719,0.0,0.598,0.402,03-10-2018 06:38:00,Chile creates law to protect its ocean habitat https://t.co/3ZV7g76L31,0,@BBCWorld
1,-0.7096,0.414,0.442,0.144,03-09-2018 18:39:02,Report finds US hospital failed to protect infants from abuse https://t.co/LIp3OEVs07,1,@BBCWorld
2,0.4019,0.0,0.803,0.197,03-09-2018 09:18:55,Russian spy: Foreign minister says Russia willing to help in inquiry https://t.co/DGsNyBTzo6,2,@BBCWorld
3,0.0,0.0,1.0,0.0,03-09-2018 01:37:24,"RT @BBCKarishma: As @POTUS announces he's going to meet NK's Kim Jong Un by May, here's a piece I wrote earlier in the year about why NK ap…",3,@BBCWorld
4,0.0,0.0,1.0,0.0,03-08-2018 16:44:53,"RT @bbc5live: “He was a gem""

Oscar-winning actress @SusanSarandon tells @AnnaeFoster the late Paul Newman once gave her part of his salary…",4,@BBCWorld
5,-0.4588,0.3,0.7,0.0,03-08-2018 10:29:45,Saudi lion tamer held after girl attacked https://t.co/DBAnkcdVUT,5,@BBCWorld
6,0.5719,0.0,0.761,0.239,03-08-2018 04:49:21,RT @SallyBundockBBC: Morning - getting ready for #BBCTheBriefing. @hare_brain will join me to discuss key issues on #InternationalWomensDay…,6,@BBCWorld
7,-0.8591,0.613,0.387,0.0,03-07-2018 16:48:16,German far-right terror group members jailed for attacks https://t.co/3ITFKDhYWA,7,@BBCWorld
8,-0.4019,0.252,0.748,0.0,03-07-2018 08:17:45,Terminal illness led to Australia's first same-sex marriage https://t.co/WrPYmBLXE8,8,@BBCWorld
9,0.0,0.0,1.0,0.0,03-07-2018 00:36:45,The girl who sabotaged her own wedding https://t.co/MmfykZHUPl,9,@BBCWorld
10,-0.7783,0.459,0.541,0.0,03-06-2018 16:17:44,USS Lexington: World War Two aircraft carrier wreck found https://t.co/m8oUxkAjTc,10,@BBCWorld
11,-0.7906,0.5,0.5,0.0,03-06-2018 11:21:00,Syria war: 'Chlorine attack' on besieged Eastern Ghouta https://t.co/51skSNZBah,11,@BBCWorld
12,-0.3818,0.224,0.776,0.0,03-06-2018 04:54:34,Afrin: What is going on in Syria's other battle? https://t.co/WfZ9BlFlGb,12,@BBCWorld
13,0.0,0.0,1.0,0.0,03-05-2018 19:21:04,Germany's gender-neutral anthem alternative met with resistance https://t.co/BhdKDBZk0Y,13,@BBCWorld
14,0.0,0.0,1.0,0.0,03-05-2018 12:07:21,Oscars 2018: who or what is an inclusion rider? https://t.co/X6yeKs9cBs,14,@BBCWorld
15,0.0,0.0,1.0,0.0,03-05-2018 04:37:55,China NPC: Government sets trillion yuan military budget https://t.co/ZSNSJr3hdc,15,@BBCWorld
16,0.0,0.0,1.0,0.0,03-05-2018 02:18:17,US aircraft carrier Carl Vinson in historic Vietnam visit https://t.co/jbXTXKiWVu,16,@BBCWorld
17,0.0516,0.254,0.476,0.27,03-04-2018 21:04:09,Jailed school shooter praises Florida student activists https://t.co/P1QSGZ5XPQ,17,@BBCWorld
18,-0.4588,0.273,0.727,0.0,03-04-2018 08:46:03,President Trump mocks Jared Kushner at annual dinner https://t.co/tSgKviwO3G,18,@BBCWorld
19,0.743,0.0,0.622,0.378,03-03-2018 15:05:14,Ice skaters enjoy frozen canals in the Netherlands thanks to Europe's big freeze ⛸️ https://t.co/uk6dVR6Vby,19,@BBCWorld
20,0.3612,0.0,0.762,0.238,03-03-2018 02:09:10,The news that made us smile this week https://t.co/GGxUYrfQW1,20,@BBCWorld
21,-0.5423,0.333,0.667,0.0,03-02-2018 15:09:40,Deadly avalanche in French Alps kills four https://t.co/wZA9b9IgAP,21,@BBCWorld
22,0.0,0.0,1.0,0.0,03-02-2018 03:29:03,"Swimmer, 99, 'breaks world record' in Australia https://t.co/1SFOYTlvZo",22,@BBCWorld
23,0.5106,0.0,0.538,0.462,03-01-2018 19:16:49,Russia describes reach of 'invincible missile' https://t.co/498tanvs0H,23,@BBCWorld
24,0.0,0.0,1.0,0.0,03-01-2018 12:59:23,Bill Gates says crypto-currencies cause deaths https://t.co/hCUlA2vJWh,24,@BBCWorld
25,-0.2732,0.208,0.792,0.0,03-01-2018 02:22:00,"Pesticides put bees at risk, European watchdog confirms https://t.co/cobUEo4arS",25,@BBCWorld
26,-0.7184,0.462,0.538,0.0,02-28-2018 18:37:56,Iran wrestling officials resign over Israel competition ban https://t.co/oxL8QRgHBU,26,@BBCWorld
27,0.0,0.0,1.0,0.0,02-28-2018 13:22:17,Taliban offer: Afghan President Ashraf Ghani seeks talks https://t.co/ms1ubllKbE,27,@BBCWorld
