Date,Revenue
12-Oct,1154293
12-Nov,885773
12-Dec,-448704
13-Jan,563679
13-Feb,555394
13-Mar,631974
13-Apr,957395
13-May,1104047
13-Jun,693464
13-Jul,454932
13-Aug,727272
13-Sep,125016
13-Oct,339251
13-Nov,78523
13-Dec,977084
14-Jan,1158718
14-Feb,332681
14-Mar,-341227
14-Apr,173826
14-May,742611
14-Jun,1189806
14-Jul,607363
14-Aug,-1172384
14-Sep,587993
14-Oct,295198
14-Nov,-300390
14-Dec,468995
15-Jan,698452
15-Feb,967828
15-Mar,-454873
15-Apr,375723
15-May,1140526
15-Jun,83836
15-Jul,413189
15-Aug,551363
15-Sep,1195111
15-Oct,657081
15-Nov,66659
15-Dec,803301
16-Jan,-953301
16-Feb,883934
