City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,longyearbyen,75,SJ,1483588200,73,78.22,15.64,26.6,19.46
1,asau,0,RO,1483592400,59,46.43,26.4,37.4,14.99
2,hartselle,1,US,1483592280,86,34.44,-86.94,32.0,3.36
3,komsomolskiy,40,UZ,1483592400,80,40.43,71.72,37.4,3.36
4,kapaa,90,US,1483592160,88,22.08,-159.32,71.6,17.22
5,cape town,36,ZA,1483593935,94,-33.93,18.42,70.15,15.14
6,damme,0,DE,1483591800,74,52.52,8.2,30.2,4.7
7,taolanaro,75,MG,1483592400,83,-25.03,47.0,75.2,13.87
8,georgetown,75,GY,1483588800,94,6.8,-58.16,75.2,4.7
9,rikitea,0,PF,1483594241,100,-23.12,-134.97,75.59,7.76
10,karaul,0,IN,1483594287,85,26.5,77.02,70.15,4.18
11,punta arenas,0,CL,1483588800,60,-53.15,-70.92,41.0,4.7
12,kendari,24,ID,1483593999,79,-3.94,122.5,84.14,6.53
13,aykhal,0,RU,1483594270,0,66.0,111.5,-43.08,2.84
14,meyungs,90,PW,1483591800,89,7.34,134.47,86.0,12.75
15,ushuaia,75,AR,1483592400,80,-54.8,-68.3,39.2,6.93
16,biak,0,ID,1483594554,86,-1.88,136.23,86.48,2.73
17,bolungarvik,76,IS,1483593814,100,66.08,-23.12,39.19,18.05
18,temple,1,US,1483593300,80,31.1,-97.34,35.6,3.85
19,narsaq,0,GL,1483591800,60,60.92,-46.05,6.8,5.82
20,tuktoyaktuk,75,CA,1483592400,85,69.45,-133.04,17.6,27.51
21,sisimiut,0,GL,1483593997,100,66.94,-53.67,-10.36,0.6
22,cabedelo,20,BR,1483592400,83,-6.98,-34.83,75.2,4.7
23,luderitz,8,NA,1483588800,87,-26.65,15.16,60.8,6.93
24,illoqqortoormiut,75,IT,1483592100,87,41.9,12.49,42.8,13.87
25,eirunepe,68,BR,1483594117,88,-6.66,-69.87,74.11,2.06
26,qaanaaq,64,GL,1483594243,82,77.48,-69.36,-5.59,6.53
27,puerto escondido,0,MX,1483593992,100,15.85,-97.07,82.03,7.31
28,belogradcik,68,BG,1483594555,100,43.63,22.68,27.76,3.96
29,quatre cocos,40,MU,1483592400,69,-20.21,57.76,82.4,8.05
30,palauig,20,PH,1483594357,68,15.44,119.9,85.72,1.16
31,praya,40,ID,1483592400,66,-8.71,116.27,89.6,10.29
32,sechura,56,PE,1483594387,85,-5.56,-80.82,69.61,7.65
33,atuona,92,PF,1483594257,100,-9.8,-139.03,80.14,11.68
34,port hedland,0,AU,1483592400,51,-20.32,118.57,102.2,17.22
35,mys shmidta,75,MY,1483592400,62,3.14,101.69,86.0,4.7
36,la cruz,0,MX,1483593974,86,23.92,-106.9,59.21,2.17
37,bredasdorp,68,ZA,1483592400,77,-34.53,20.04,68.0,3.36
38,vaini,75,TO,1483592400,88,-21.2,-175.2,80.6,8.05
39,bathsheba,75,BB,1483592400,78,13.22,-59.52,78.8,16.11
40,avarua,75,CK,1483588800,74,-21.21,-159.77,80.6,9.17
41,chapais,90,CA,1483592040,77,49.78,-74.85,6.8,12.75
42,juneau,90,US,1483592160,92,58.3,-134.42,26.6,6.98
43,busselton,0,AU,1483593803,88,-33.65,115.33,72.04,16.26
44,palana,88,RU,1483594406,93,59.12,159.97,12.23,11.9
45,tromso,0,NO,1483591800,66,69.65,18.96,14.0,20.8
46,ponta do sol,40,PT,1483592400,77,32.67,-17.1,62.6,11.41
47,hobart,75,AU,1483592400,68,-42.88,147.33,64.4,20.8
48,prigorodka,90,RU,1483592400,100,52.04,39.71,28.4,6.71
49,hilo,1,US,1483592160,73,19.73,-155.09,69.8,4.7
50,yellowknife,90,CA,1483588800,92,62.46,-114.35,12.2,10.29
51,albany,75,US,1483592040,62,42.65,-73.76,24.8,3.36
52,chuy,92,UY,1483594308,98,-33.7,-53.46,72.49,8.77
53,songkhla,40,TH,1483592400,74,7.2,100.6,86.0,4.7
54,dikson,76,RU,1483594272,86,73.51,80.55,7.06,25.77
55,saint simons,1,US,1483592100,67,31.14,-81.39,57.2,8.05
56,port-gentil,40,GA,1483592400,94,-0.72,8.78,75.2,3.62
57,katsuura,20,JP,1483592400,31,35.13,140.3,50.0,21.92
58,sao raimundo das mangabeiras,20,BR,1483594191,98,-7.02,-45.48,69.25,6.87
59,puerto ayora,76,EC,1483593768,98,-0.74,-90.35,73.66,6.42
60,provideniya,8,RU,1483593704,100,64.38,-173.3,25.24,23.53
61,saint-philippe,90,RE,1483592400,51,-21.36,55.77,86.0,6.93
62,palmares do sul,12,BR,1483591800,96,-30.26,-50.51,32.0,8.05
63,port alfred,92,ZA,1483594238,74,-33.59,26.89,71.18,11.12
64,isangel,92,VU,1483594142,100,-19.55,169.27,80.5,12.8
65,kousseri,0,CM,1483592400,25,12.08,15.03,60.8,10.0
66,belushya guba,0,RU,1483594237,100,69.71,60.05,-19.95,3.06
67,olafsvik,92,IS,1483594357,100,64.89,-23.71,42.56,27.0
68,namibe,100,AO,1483594274,100,-15.2,12.15,71.95,0.83
69,jamestown,90,US,1483593180,78,42.1,-79.24,21.2,13.87
70,hami,0,CN,1483593850,81,42.8,93.45,21.64,3.96
71,kihei,20,US,1483592160,73,20.79,-156.47,71.6,6.93
72,egvekinot,0,RU,1483594559,68,66.32,-179.17,-5.41,3.4
73,kirakira,20,SB,1483594559,100,-10.45,161.92,83.29,7.54
74,torbay,90,CA,1483588800,98,47.67,-52.73,32.0,35.57
75,belaya gora,0,RU,1483594269,0,68.53,146.42,-49.02,3.06
76,east london,0,ZA,1483592400,82,-33.02,27.91,68.0,11.41
77,nome,40,US,1483591980,86,64.5,-165.41,28.4,19.46
78,goderich,76,CA,1483591860,66,43.75,-81.72,15.8,11.41
79,palabuhanratu,68,ID,1483594257,100,-6.95,106.49,81.31,9.78
80,bluff,36,NZ,1483593871,100,-46.6,168.33,54.58,24.09
81,yukhnov,76,RU,1483594560,93,54.74,35.23,28.16,9.78
82,uren,76,RU,1483594561,83,57.46,45.79,3.14,6.87
83,mbandaka,48,CD,1483594561,100,0.05,18.26,73.88,3.18
84,hithadhoo,44,MV,1483594289,100,-0.6,73.08,80.32,7.76
85,praia da vitoria,20,PT,1483592400,93,38.73,-27.07,55.4,4.7
86,salalah,0,OM,1483591800,36,17.02,54.09,75.2,3.74
87,mataura,0,IN,1483588800,100,27.5,77.68,53.6,2.24
88,ketchikan,75,US,1483592160,100,55.34,-131.65,30.2,3.29
89,cedar city,90,US,1483591980,90,37.68,-113.06,37.4,13.87
90,khuzhir,0,RU,1483594562,84,53.19,107.34,16.96,1.83
